study_hours,attendance_pct,prev_exam_score,assignments_done,sleep_hours,final_score
4.1,84.9,42.0,1.0,7.2,61.1
9.5,76.8,65.2,5.0,8.4,83.2
7.5,65.5,86.7,4.0,4.6,84.9
6.2,90.7,77.6,9.0,8.1,89.9
2.0,84.2,82.4,8.0,4.6,69.0
2.0,58.1,72.8,4.0,9.8,54.0
1.1,73.6,75.0,1.0,6.9,67.2
8.7,91.1,85.2,4.0,4.9,93.4
6.2,97.5,46.2,3.0,6.1,71.0
7.2,86.3,61.8,10.0,6.5,93.3
0.7,80.7,44.4,6.0,8.5,51.9
9.7,70.9,94.2,5.0,8.5,86.5
8.4,96.6,91.4,1.0,7.7,98.5
2.5,93.3,32.6,10.0,4.6,68.8
2.2,52.3,75.9,10.0,4.9,64.8
2.2,51.3,90.1,4.0,4.6,57.4
3.4,68.8,41.7,6.0,7.5,67.4
5.5,90.5,66.9,10.0,9.3,97.8
4.6,99.4,89.5,6.0,6.6,89.0
3.3,57.5,32.2,4.0,5.0,46.7
6.3,79.7,75.3,8.0,7.3,86.1
1.8,69.0,49.3,3.0,8.9,53.7
3.3,98.5,90.1,10.0,8.5,78.1
4.0,92.1,93.1,2.0,9.3,76.6
4.8,91.9,91.4,3.0,5.7,82.6
8.0,73.4,60.8,4.0,5.2,84.9
2.4,70.7,86.0,5.0,9.3,70.9
5.4,63.7,84.9,2.0,7.9,72.3
6.1,52.8,50.7,1.0,5.9,66.8
0.9,93.2,83.9,3.0,8.5,73.6
5.4,90.6,32.4,4.0,8.9,71.6
2.1,100.0,68.8,3.0,7.7,70.5
1.1,99.8,45.0,10.0,8.1,62.4
9.5,77.8,37.8,2.0,6.3,73.0
9.7,88.4,35.0,7.0,7.2,86.3
8.2,97.2,75.3,9.0,7.1,98.4
3.4,92.5,52.1,3.0,9.1,60.6
1.4,62.4,77.1,1.0,9.0,52.3
7.0,72.5,34.2,1.0,9.0,62.6
4.7,56.5,50.5,0.0,4.1,56.1
1.7,97.7,65.1,3.0,7.0,63.0
5.2,80.3,81.4,9.0,8.6,75.7
0.8,61.4,50.7,8.0,8.1,55.8
9.1,83.6,70.7,10.0,8.5,98.4
3.0,80.9,87.6,6.0,9.1,70.0
6.8,67.9,70.0,9.0,6.8,85.5
5.4,55.7,45.1,6.0,7.0,54.9
5.4,83.6,31.6,6.0,4.7,69.6
5.7,76.0,86.6,7.0,6.3,95.2
2.3,88.6,31.4,0.0,7.9,44.9
9.7,76.0,86.9,9.0,8.7,98.5
7.9,92.6,64.4,9.0,5.3,90.9
9.4,77.6,91.0,7.0,4.8,95.3
9.0,78.0,81.9,3.0,8.0,93.5
6.2,93.8,94.9,3.0,4.0,85.7
9.3,70.2,52.8,3.0,5.1,82.9
1.3,56.7,79.9,5.0,4.2,55.2
2.4,51.4,56.1,6.0,5.0,49.6
0.9,87.8,61.2,5.0,5.1,56.0
3.6,81.0,70.8,0.0,6.3,67.3
4.2,85.2,86.8,7.0,6.4,83.0
3.1,60.6,94.0,9.0,9.2,78.7
8.4,56.8,79.9,10.0,7.1,92.6
3.9,50.7,57.2,6.0,8.3,56.6
3.2,67.5,57.4,5.0,4.6,58.3
5.7,79.5,77.9,5.0,5.4,81.8
1.8,69.6,45.5,4.0,8.2,56.7
8.1,71.9,37.2,5.0,4.3,76.5
1.2,95.2,53.1,8.0,6.9,63.8
9.9,67.4,48.7,9.0,7.6,85.6
7.8,75.7,49.3,8.0,7.6,83.4
2.4,89.2,45.2,9.0,4.1,71.5
0.6,69.8,32.7,7.0,5.9,48.3
8.2,81.1,31.2,9.0,7.8,85.8
7.2,93.1,94.2,8.0,4.9,98.3
7.4,97.5,57.8,9.0,8.2,95.4
7.8,57.4,55.0,7.0,8.5,84.3
1.2,96.3,74.2,7.0,9.9,74.2
3.9,74.6,44.2,0.0,5.3,53.3
1.6,62.9,91.7,9.0,9.0,60.5
8.7,73.0,81.1,10.0,7.1,94.9
6.4,99.0,35.8,4.0,6.2,77.0
3.6,74.6,57.1,3.0,4.7,59.7
1.1,66.4,87.1,1.0,8.4,63.9
3.5,73.6,91.4,7.0,5.4,78.9
3.6,62.0,60.4,2.0,6.2,61.6
7.4,53.8,69.9,3.0,4.4,71.5
6.6,56.4,40.9,6.0,8.8,66.2
8.9,56.4,94.4,9.0,8.6,86.2
5.0,57.6,45.1,8.0,8.4,66.8
1.6,56.9,91.3,1.0,5.8,69.3
7.3,82.0,72.2,2.0,5.0,74.2
7.7,59.1,69.5,3.0,7.8,69.0
5.8,73.6,63.3,9.0,7.0,87.6
7.8,94.8,45.0,0.0,5.1,78.2
5.2,73.7,41.5,6.0,8.1,69.8
5.5,83.4,44.3,1.0,9.9,68.1
4.6,58.6,42.1,4.0,8.5,55.8
0.7,59.6,80.7,0.0,8.4,49.1
1.5,52.0,52.8,2.0,9.7,47.2
0.8,58.4,33.8,1.0,5.2,47.1
6.5,63.9,93.0,0.0,7.4,70.4
3.5,58.9,87.4,6.0,9.9,71.7
5.4,54.4,90.3,4.0,5.0,73.0
9.1,56.0,94.7,0.0,8.2,82.3
2.9,73.0,41.3,5.0,7.5,59.7
4.4,60.3,55.8,4.0,7.5,57.8
7.7,68.2,79.3,2.0,8.2,83.4
2.7,75.2,75.2,6.0,9.6,63.3
1.2,84.5,40.0,10.0,8.7,58.8
3.3,52.0,83.0,9.0,4.3,71.3
2.0,90.0,44.6,8.0,9.1,68.1
9.3,81.4,44.5,8.0,5.4,89.1
8.2,54.1,64.9,8.0,6.3,87.2
6.5,93.7,68.5,1.0,6.8,85.2
8.8,96.0,67.7,2.0,6.9,94.8
8.1,53.1,35.9,6.0,6.6,70.1
2.3,63.8,87.0,4.0,9.6,65.6
9.0,90.3,47.3,1.0,8.2,82.0
5.6,87.4,38.4,2.0,7.8,75.0
8.2,59.2,87.8,9.0,4.3,87.8
9.0,60.5,92.1,5.0,9.4,85.9
3.5,68.5,86.0,6.0,9.5,67.7
1.5,74.2,82.6,8.0,8.7,69.5
2.7,80.9,72.6,0.0,4.0,59.2
4.6,68.4,65.8,10.0,4.3,76.4
8.3,73.1,35.7,4.0,5.4,79.0
8.7,87.4,56.5,7.0,4.8,91.6
0.6,51.8,54.2,2.0,6.4,43.1
5.4,62.6,46.9,3.0,9.5,57.3
4.5,85.7,77.0,9.0,6.8,80.4
2.6,94.8,62.2,5.0,4.1,70.3
1.6,75.6,35.3,9.0,5.7,61.6
3.7,76.6,44.3,6.0,4.3,54.9
9.5,55.4,74.4,3.0,4.2,83.4
3.6,72.4,34.9,7.0,5.7,70.2
5.4,76.6,85.3,4.0,5.7,75.5
7.2,62.1,62.2,0.0,8.7,69.3
4.0,63.5,61.2,3.0,9.8,57.0
9.7,68.9,68.5,2.0,6.2,86.9
9.6,51.0,83.6,8.0,6.6,87.1
2.9,66.1,52.6,7.0,9.1,61.1
5.2,60.6,74.1,0.0,5.6,67.9
3.4,66.4,66.8,10.0,4.9,76.3
3.2,56.0,47.4,5.0,9.1,56.9
0.9,94.5,87.1,8.0,4.3,70.3
6.3,79.7,81.8,6.0,7.7,78.8
5.3,84.0,72.8,3.0,7.4,73.3
1.0,89.5,85.3,0.0,6.1,59.4
3.1,74.9,86.4,1.0,5.9,63.0
9.1,54.3,76.0,4.0,8.6,82.1
2.8,76.9,84.4,10.0,4.5,74.5
1.9,79.3,75.3,4.0,5.4,64.7
5.1,87.3,74.2,7.0,8.4,86.9
9.9,71.6,70.2,5.0,7.0,89.5
2.8,56.4,78.9,7.0,4.8,59.0
6.9,64.2,40.3,1.0,9.3,59.5
7.7,68.2,87.3,2.0,6.4,84.4
2.8,82.3,86.7,5.0,9.0,74.4
7.4,78.5,31.9,9.0,8.7,81.1
4.0,67.8,83.7,2.0,7.7,73.2
6.5,99.3,38.4,5.0,7.0,78.9
6.5,80.3,51.8,5.0,9.9,81.3
5.6,61.9,78.3,1.0,4.9,70.3
1.4,55.1,40.4,6.0,8.4,39.5
8.4,57.6,83.2,1.0,5.1,84.4
3.5,62.3,84.1,5.0,6.0,65.9
2.3,58.0,63.0,0.0,5.9,46.5
0.9,59.3,30.4,2.0,9.7,40.0
6.1,64.3,48.7,1.0,9.8,53.4
6.9,58.7,70.1,6.0,5.1,73.7
0.7,94.8,93.8,3.0,4.1,70.9
5.4,54.0,71.1,7.0,8.3,74.8
2.7,76.2,46.9,5.0,6.5,64.7
6.6,70.5,71.2,9.0,4.5,79.8
5.4,99.1,65.1,3.0,8.1,61.4
7.1,55.6,80.7,4.0,7.3,80.5
4.2,69.9,37.0,4.0,9.9,66.4
9.4,98.5,79.5,6.0,5.4,100.0
5.4,93.3,65.2,9.0,6.4,74.7
3.7,90.9,92.6,8.0,7.3,81.5
1.6,62.9,52.2,6.0,8.8,64.7
9.3,58.5,71.1,0.0,7.3,79.7
8.8,83.4,90.6,7.0,7.7,98.0
3.0,96.5,36.7,3.0,5.4,61.2
6.8,77.8,90.9,2.0,9.1,81.3
8.3,78.6,74.7,6.0,6.6,94.5
5.8,64.0,34.4,2.0,4.8,59.4
5.5,88.5,49.6,7.0,8.0,81.6
2.8,59.4,76.0,5.0,5.3,63.3
1.4,66.2,34.4,4.0,4.6,46.0
9.0,71.3,67.8,3.0,9.2,84.5
9.1,75.4,52.5,7.0,6.8,90.5
6.5,62.1,70.4,7.0,8.5,77.7
3.7,55.7,33.0,0.0,5.7,44.1
3.8,80.5,86.6,8.0,8.7,81.0
7.4,64.4,93.3,4.0,4.7,82.2
9.0,79.1,93.0,3.0,6.1,90.4
8.9,57.7,78.7,5.0,9.9,78.1
7.9,74.1,38.5,5.0,8.8,77.0
6.6,76.6,79.3,1.0,7.0,79.6
1.3,52.6,31.6,7.0,6.0,46.8
2.0,66.8,31.4,6.0,9.2,49.2
9.0,56.7,51.0,0.0,7.3,67.9
6.3,53.2,61.8,4.0,8.6,69.7
0.6,99.5,80.1,5.0,8.5,65.1
1.5,66.1,74.4,3.0,4.1,62.9
6.8,90.5,59.0,1.0,4.8,73.1
0.5,62.7,47.8,3.0,8.0,36.8
2.0,84.1,94.8,0.0,5.0,63.8
5.7,88.0,57.7,6.0,5.5,78.4
7.1,79.8,59.3,1.0,9.7,75.9
6.7,73.6,40.6,1.0,7.4,68.3
2.6,70.6,81.7,8.0,8.5,68.2
7.3,73.6,75.1,4.0,7.3,79.4
2.8,96.5,44.4,1.0,7.3,62.6
3.6,91.5,35.4,10.0,4.6,62.4
7.6,98.3,74.2,8.0,6.1,100.0
6.7,56.2,72.5,8.0,5.7,76.3
8.6,86.5,47.8,0.0,6.3,83.4
6.7,96.9,91.8,10.0,8.8,100.0
5.9,59.1,39.8,2.0,6.2,63.5
1.4,53.3,58.1,3.0,6.7,54.5
4.0,87.1,91.3,6.0,6.4,84.1
3.0,78.7,57.3,9.0,4.6,71.7
2.8,92.1,71.5,3.0,6.6,69.1
9.7,57.0,55.8,1.0,5.2,76.4
4.2,89.8,47.8,6.0,5.1,68.4
9.0,60.1,94.0,5.0,4.6,86.3
6.5,58.2,56.6,2.0,6.1,74.8
8.1,58.2,88.1,5.0,8.5,81.0
5.3,73.6,44.9,10.0,5.7,81.8
6.0,83.3,43.9,5.0,5.9,74.3
5.2,76.2,32.0,4.0,7.9,63.4
2.4,67.9,72.4,4.0,5.2,61.8
7.4,93.9,54.0,9.0,9.4,90.5
3.2,69.6,86.2,0.0,7.1,59.9
0.7,90.8,60.8,9.0,6.7,68.8
6.6,72.0,92.9,5.0,7.3,81.1
2.2,68.8,42.1,1.0,5.0,51.5
9.4,73.1,86.5,2.0,7.7,89.9
9.6,65.1,80.5,7.0,6.2,93.8
9.2,87.4,80.1,9.0,9.4,100.0
4.0,75.1,84.9,5.0,5.0,72.2
0.6,61.6,79.5,2.0,7.0,57.1
9.3,95.0,70.7,6.0,7.6,93.8
4.6,69.2,38.5,3.0,4.2,62.7
9.7,77.2,32.1,8.0,6.2,84.6
9.7,95.3,89.9,4.0,8.4,93.3
8.6,81.2,70.1,2.0,8.9,81.9
3.3,55.8,81.8,1.0,5.9,57.9
5.4,97.0,61.3,10.0,8.8,81.2
8.6,81.4,37.6,1.0,9.8,72.4
3.5,66.7,38.1,2.0,9.1,57.0
2.1,57.0,74.6,1.0,4.7,51.2
5.8,89.7,58.0,3.0,8.4,72.5
9.4,81.0,43.0,1.0,5.9,74.3
7.1,76.7,62.0,9.0,9.9,80.8
5.9,94.7,34.2,8.0,6.9,72.1
1.4,89.4,67.8,1.0,4.7,54.6
6.3,57.6,47.5,8.0,8.4,77.2
9.9,65.6,81.8,5.0,5.9,88.4
1.8,62.4,50.2,0.0,10.0,45.6
5.4,87.2,59.6,3.0,9.9,65.3
8.8,51.7,30.8,0.0,7.9,70.7
7.5,78.5,34.7,5.0,4.8,80.9
7.1,88.1,55.5,3.0,8.1,81.4
7.2,93.8,61.2,2.0,4.6,86.7
3.9,67.1,69.0,2.0,4.2,61.5
3.3,91.1,49.0,8.0,8.9,74.4
8.2,55.5,75.2,5.0,5.3,85.3
8.2,92.3,85.9,8.0,6.3,100.0
8.7,56.4,80.7,4.0,9.8,73.4
9.2,69.9,32.6,1.0,6.0,75.5
5.4,89.9,61.2,7.0,5.8,79.1
5.3,57.5,36.8,4.0,9.5,56.3
8.1,61.5,45.7,1.0,4.7,68.3
6.7,86.1,94.1,3.0,8.6,88.3
7.2,86.0,39.3,8.0,9.9,79.2
8.1,82.1,62.4,3.0,9.4,82.7
9.0,84.7,70.2,4.0,7.9,85.7
3.7,77.1,75.7,1.0,5.9,65.7
4.1,62.6,66.4,5.0,5.5,69.5
1.4,67.3,30.6,10.0,8.9,63.0
6.0,59.1,51.2,1.0,9.3,68.9
0.8,95.4,63.7,6.0,7.2,68.1
4.9,79.2,35.7,2.0,5.5,65.1
5.7,70.0,52.8,2.0,4.7,72.4
3.2,73.1,32.2,4.0,4.5,51.4
6.1,97.4,35.1,2.0,8.3,74.0
0.8,57.7,55.8,1.0,6.5,48.5
0.9,79.3,38.6,9.0,9.4,63.0
8.3,75.3,66.9,8.0,8.4,84.8
3.9,80.6,74.8,1.0,5.1,62.5
1.7,50.9,82.0,10.0,7.7,66.6
5.5,93.6,43.0,1.0,6.6,71.0
7.8,96.6,40.9,7.0,7.5,91.4
2.6,78.3,36.8,8.0,8.4,64.9
6.4,84.8,71.4,6.0,8.8,82.5
1.3,96.1,75.9,2.0,9.1,64.8
1.0,85.4,32.1,8.0,5.5,59.2
5.5,57.6,90.9,2.0,4.2,75.3
5.6,78.8,33.4,4.0,8.4,67.3
6.6,80.3,65.2,8.0,4.6,81.1
7.4,71.2,76.1,2.0,5.9,80.5
9.8,86.8,86.6,6.0,4.0,97.3
5.4,96.7,76.4,0.0,8.1,70.1
3.6,96.3,82.1,3.0,5.0,74.5
8.1,72.5,52.1,3.0,7.9,76.8
3.1,55.7,83.0,6.0,10.0,60.6
4.7,73.6,35.2,7.0,4.4,76.3
1.2,91.9,88.2,0.0,4.5,57.6
0.7,56.2,65.6,4.0,6.0,53.0
9.6,96.0,83.1,6.0,9.2,99.2
8.4,93.5,59.4,3.0,5.3,85.8
7.1,75.9,71.8,3.0,6.2,81.4
4.4,79.6,64.2,3.0,4.4,61.2
2.1,70.0,77.6,5.0,8.6,64.7
2.0,52.7,35.3,6.0,6.4,59.6
2.9,66.8,33.9,1.0,8.6,42.7
5.7,90.1,46.1,4.0,9.4,71.4
7.3,73.6,40.4,3.0,5.4,68.4
6.8,66.7,86.7,2.0,8.8,78.1
3.2,69.9,44.2,6.0,4.4,61.6
9.6,76.9,93.4,10.0,9.4,92.6
7.5,96.0,51.9,5.0,7.9,87.5
5.8,67.3,41.8,6.0,9.2,64.5
6.3,67.3,81.3,4.0,4.0,75.3
4.5,86.9,72.8,5.0,5.0,75.4
2.9,72.6,62.4,4.0,6.3,72.4
3.9,61.2,66.1,6.0,6.3,69.5
7.7,72.6,76.7,1.0,5.4,77.7
0.6,57.0,44.8,10.0,6.3,49.1
1.6,58.8,94.8,4.0,4.8,61.0
